customer_id,date,transaction_amount,plan_type,churn,churn_prediction
CUST_1,2023-01-01,193.524658235208,Basic,0,0
CUST_1,2023-02-01,303.342657256548,Standard,0,0
CUST_1,2023-03-01,38.46096996241769,Standard,0,0
CUST_1,2023-04-01,356.955563120062,Premium,0,0
CUST_1,2023-05-01,417.896893992207,Standard,0,0
CUST_1,2023-06-01,,Premium,0,0
CUST_1,2023-07-01,221.653059134637,Standard,0,0
CUST_1,2023-08-01,78.3519917195005,Standard,0,0
CUST_1,2023-09-01,233.474292266348,Premium,0,0
CUST_1,2023-10-01,261.97487482267,Standard,1,0
CUST_1,2023-11-01,307.696977431705,Basic,1,0
CUST_1,2023-12-01,41.875280562787,Basic,1,0
CUST_2,2023-01-01,483.159696206534,Premium,0,0
CUST_2,2023-02-01,57.859335863128095,Standard,0,0
CUST_2,2023-03-01,69.7987350739416,Premium,1,0
CUST_2,2023-04-01,455.566997018603,Premium,1,0
CUST_2,2023-05-01,334.635919333451,Premium,1,0
CUST_2,2023-06-01,264.833330377127,Premium,1,0
CUST_2,2023-07-01,100.578683207508,Basic,1,0
CUST_2,2023-08-01,389.815083446946,Standard,1,1
CUST_2,2023-09-01,448.465401709548,Premium,1,1
CUST_2,2023-10-01,461.71837516132706,Basic,1,1
CUST_2,2023-11-01,106.031602585381,Basic,1,1
CUST_2,2023-12-01,169.411862074,Premium,1,1
CUST_3,2023-01-01,142.961025569209,Standard,0,0
CUST_3,2023-02-01,147.657909746817,Premium,0,0
CUST_3,2023-03-01,403.07652056947904,Basic,0,0
CUST_3,2023-04-01,388.399936955362,Basic,1,0
CUST_3,2023-05-01,409.576099942869,Basic,1,1
CUST_3,2023-06-01,367.213512340084,Premium,1,1
CUST_3,2023-07-01,46.281879349704305,Basic,1,1
CUST_3,2023-08-01,66.7758391673136,Premium,1,1
CUST_3,2023-09-01,315.416082145503,Basic,1,1
CUST_3,2023-10-01,41.1435916401516,Basic,1,1
CUST_3,2023-11-01,169.339827793106,Basic,1,1
CUST_3,2023-12-01,322.403160964054,Standard,1,1
CUST_4,2023-01-01,241.385313329355,Standard,0,0
CUST_4,2023-02-01,382.78467382228,Premium,0,0
CUST_4,2023-03-01,251.959842218551,Standard,0,0
CUST_4,2023-04-01,22.4553721046066,Basic,1,0
CUST_4,2023-05-01,321.841101519252,Premium,1,0
CUST_4,2023-06-01,259.199638670704,Basic,1,0
CUST_4,2023-07-01,132.153192282949,Basic,1,0
CUST_4,2023-08-01,380.220057886094,Premium,1,0
CUST_4,2023-09-01,47.7201558161086,Basic,1,1
CUST_4,2023-10-01,88.9984307544622,Basic,1,1
CUST_4,2023-11-01,405.978985986564,Premium,1,1
CUST_4,2023-12-01,437.015689191982,Basic,1,1
CUST_5,2023-01-01,101.419328854158,Basic,0,0
CUST_5,2023-02-01,405.64567603039103,Standard,0,0
CUST_5,2023-03-01,63.9254430185616,Premium,0,0
CUST_5,2023-04-01,410.827235302022,Basic,1,0
CUST_5,2023-05-01,260.266178263007,Standard,1,0
CUST_5,2023-06-01,118.832827130658,Basic,1,0
CUST_5,2023-07-01,175.431433987778,Basic,1,0
CUST_5,2023-08-01,168.36943669017,Basic,1,0
CUST_5,2023-09-01,354.479289858637,Standard,1,0
CUST_5,2023-10-01,486.17322053327104,Premium,1,0
CUST_5,2023-11-01,133.373324954428,Basic,1,0
CUST_5,2023-12-01,157.430371810217,Premium,1,0
CUST_6,2023-01-01,28.0746042037211,Basic,0,0
CUST_6,2023-02-01,35.2245881124948,Basic,0,0
CUST_6,2023-03-01,127.385326426816,Basic,0,0
CUST_6,2023-04-01,492.968722514194,Basic,0,0
CUST_6,2023-05-01,383.193611511072,Standard,0,0
CUST_6,2023-06-01,190.213735032434,Basic,0,0
CUST_6,2023-07-01,272.529595196632,Standard,0,0
CUST_6,2023-08-01,167.182231836151,Standard,1,0
CUST_6,2023-09-01,299.537542162239,Premium,1,0
CUST_6,2023-10-01,18.1280361746495,Premium,1,0
CUST_6,2023-11-01,120.98292984699,Standard,1,0
CUST_6,2023-12-01,95.4395502124458,Premium,1,0
CUST_7,2023-01-01,199.500319687263,Standard,0,0
